Date,Open,High,Low,Close,Adj Close,Volume
2023-08-02,17207.220703,17212.550781,16844.570313,16893.730469,16893.730469,4905400
2023-08-04,16847.240234,16887.380859,16748.509766,16843.679688,16843.679688,3836700
2023-08-07,16870.810547,17032.320313,16868.740234,16996,16996,3358800
2023-08-08,17006.460938,17043.560547,16812.589844,16877.070313,16877.070313,3689000
2023-08-09,16836.640625,16956.730469,16798.5,16870.939453,16870.939453,3230500
2023-08-10,16827.109375,16827.109375,16601.169922,16634.699219,16634.699219,3822300
2023-08-11,16644.650391,16766.839844,16601.25,16601.25,16601.25,3143400
2023-08-14,16585.410156,16585.410156,16307.280273,16393.660156,16393.660156,3754700
2023-08-15,16438.630859,16546.009766,16437.630859,16454.800781,16454.800781,3164800
2023-08-16,16422.199219,16446.779297,16304.44043,16446.779297,16446.779297,3521200
2023-08-17,16411.630859,16550.109375,16264.650391,16516.660156,16516.660156,3718500
2023-08-18,16508.460938,16583.949219,16344.290039,16381.30957,16381.30957,3834000
2023-08-21,16414.140625,16485.25,16347.769531,16381.490234,16381.490234,2647300
2023-08-22,16429.689453,16535.070313,16407.830078,16437.609375,16437.609375,2929100
2023-08-23,16440.390625,16588.509766,16440.390625,16576.900391,16576.900391,3025900
2023-08-24,16651.029297,16822.359375,16651.029297,16770.869141,16770.869141,3988000
2023-08-25,16708.529297,16708.529297,16481.580078,16481.580078,16481.580078,3217200
2023-08-28,16498.859375,16582.960938,16498.859375,16509.259766,16509.259766,3052400
2023-08-29,16528.490234,16627.699219,16495.759766,16623.650391,16623.650391,2649500
2023-08-30,16666.330078,16780.419922,16666.330078,16719.820313,16719.820313,2979300
2023-08-31,16707.349609,16712.220703,16630.669922,16634.509766,16634.509766,3812000
2023-09-01,16640.919922,16730.130859,16619.230469,16644.939453,16644.939453,3194100
2023-09-04,16649.669922,16789.689453,16648.509766,16789.689453,16789.689453,2734900
2023-09-05,16784.119141,16791.609375,16727.439453,16791.609375,16791.609375,2626500
2023-09-06,16796.369141,16841.189453,16732.689453,16738.160156,16738.160156,3123200
2023-09-07,16715.449219,16715.449219,16609.939453,16619.140625,16619.140625,2727400
2023-09-08,16609.929688,16609.929688,16505.640625,16576.019531,16576.019531,2492600
2023-09-11,16579.830078,16600.029297,16398.300781,16432.949219,16432.949219,3098400
2023-09-12,16433.820313,16579.859375,16422.910156,16572.710938,16572.710938,2744800
2023-09-13,16578.130859,16653.300781,16542.720703,16581.509766,16581.509766,2656800
2023-09-14,16581.619141,16807.560547,16581.619141,16807.560547,16807.560547,3031000
2023-09-15,16809.740234,16920.919922,16787.740234,16920.919922,16920.919922,4307600
